	Match	Coverage	Identity	E-val	Entry	Protein names	Gene	Length	ExpAA	First60	PredHel	Topology
lcl|NC_007205.1_prot_WP_006997711.1_196	WP_000137877	0.9872340425531915	0.3103448275862069	5.92282e-37	P69228	Transcriptional regulatory protein BaeR	baeR	235	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997730.1_177	WP_001243437	0.8918918918918919	0.4015151515151515	2.78052e-30	P0C054	Small heat shock protein IbpA (16 kDa heat shock protein A)	ibpA	148	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997738.1_169	WP_000772831	0.5130434782608696	0.22033898305084745	0.246442	P25526	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD (SSDH) (EC 1.2.1.79)	gabD	115	21.86	0.02	1	i80-102o
lcl|NC_007205.1_prot_WP_006997749.1_159	WP_001026276	0.96875	0.46236559139784944	8.76478e-22	P0A6F9	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS	96	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997752.1_156	WP_001286857	0.9845303867403314	0.43097643097643096	0.0	P00956	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS	905	0.04	0.0	0	o
lcl|NC_007205.1_prot_WP_006997756.1_152	WP_000743193	0.9414893617021277	0.288135593220339	2.07818e-17	P0ADX9	Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.171) (16S rRNA m2G966 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase)	rsmD	188	0.02	0.0	0	o
lcl|NC_007205.1_prot_WP_006997757.1_151	WP_000866800	0.997624703087886	0.4380952380952381	4.27549e-119	P15640	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase)	purD	421	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997761.1_147	WP_000891564	0.919047619047619	0.29015544041450775	1.89222e-53	P0AC75	3-deoxy-D-manno-octulosonic acid transferase (Kdo transferase) (EC 2.4.99.12) (EC 2.4.99.13) (Bifunctional Kdo transferase) (Kdo-lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase) (Lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase)	waaA	420	40.43	33.62	2	o4-25i46-68o
lcl|NC_007205.1_prot_WP_006997765.1_143	WP_000235508	0.9876543209876543	0.465625	2.36782e-94	P28304	Quinone oxidoreductase 1 (EC 1.6.5.5) (NADPH:quinone reductase 1) (Zeta-crystallin homolog protein)	qorA	324	0.15	0.0	0	o
lcl|NC_007205.1_prot_WP_006997766.1_142	WP_000639811	0.3655913978494624	0.4019607843137255	1.7681e-14	P46852	Quercetin 2,3-dioxygenase (Quercetinase) (EC 1.13.11.24) (Pirin-like protein YhhW)	yhhW	279	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997769.1_139	WP_000035670	0.717948717948718	0.25	1.02688	P21189	DNA polymerase II (Pol II) (EC 2.7.7.7)	polB	78	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997780.1_128	WP_000781074	0.9738562091503268	0.3243847874720358	1.16186e-70	P00934	Threonine synthase (TS) (EC 4.2.3.1)	thrC	459	1.11	0.01	0	o
lcl|NC_007205.1_prot_WP_006997791.1_117	WP_000797560	0.30666666666666664	0.5217391304347826	3.00115	P0AAD4	Tyrosine-specific transport protein (Tyrosine permease)	tyrP	75	45.34	32.71	2	i13-35o50-72i
lcl|NC_007205.1_prot_WP_006997792.1_116	WP_000135625	0.8114754098360656	0.2878787878787879	1.69993e-13	P0AB98	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	atpB	244	131.51	22.13	6	i27-49o86-108i115-134o149-171i191-213o218-240i
lcl|NC_007205.1_prot_WP_006997793.1_115	WP_000224573	0.5604395604395604	0.35294117647058826	3.3916	P0A7E9	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH	91	37.57	17.7	2	i33-55o65-83i
lcl|NC_007205.1_prot_WP_006997805.1_103	WP_001148001	1.0	0.5822784810126582	4.34408e-60	P0A6W5	Transcription elongation factor GreA (Transcript cleavage factor GreA)	greA	158	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997806.1_102	WP_000801365	0.9381818181818182	0.4108527131782946	9.95782e-68	P36553	Oxygen-dependent coproporphyrinogen-III oxidase (CPO) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	hemF	275	0.16	0.0	0	o
lcl|NC_007205.1_prot_WP_006997807.1_101	WP_000932347	0.9477124183006536	0.35172413793103446	8.0649e-33	P0AGJ7	tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL)	trmL	153	0.4	0.36	0	o
lcl|NC_007205.1_prot_WP_006997811.1_97	WP_000505866	1.0	0.5182072829131653	1.87969e-125	P0ABU2	Ribosome-binding ATPase YchF	ychF	357	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997814.1_94	WP_001298109	1.0	0.5258064516129032	1.19301e-118	P0A717	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	prs	310	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997815.1_93	WP_000040169	0.8432835820895522	0.26548672566371684	4.02094e-13	P33644	Laccase domain protein YfiH	yfiH	134	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997817.1_91	WP_000204658	0.9609375	0.3943089430894309	4.7204e-51	P60955	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	lgt	256	148.31	28.78	7	o10-32i53-72o87-109i116-138o170-189i196-215o230-252i
lcl|NC_007205.1_prot_WP_006997820.1_88	WP_001194358	0.96	0.32407407407407407	2.86044e-32	P0A9Q1	Aerobic respiration control protein ArcA (Dye resistance protein)	arcA	225	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997822.1_86	WP_000208520	0.8873720136518771	0.3923076923076923	8.30243e-56	P0AB80	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42) (Transaminase B)	ilvE	293	0.05	0.0	0	o
lcl|NC_007205.1_prot_WP_006997823.1_85	WP_001160187	0.9278350515463918	0.37777777777777777	4.8711e-35	P0ABF8	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase) (PGP synthase)	pgsA	194	86.63	26.86	4	i20-42o78-100i121-143o158-180i
lcl|NC_007205.1_prot_WP_006997824.1_84	WP_001283421	0.9689034369885434	0.36824324324324326	2.42422e-136	P0A8G0	UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C)	uvrC	611	0.28	0.0	0	o
lcl|NC_007205.1_prot_WP_006997831.1_76	WP_001200769	0.12420382165605096	0.3333333333333333	8.85538	P76586	Uncharacterized protein YphH	yphH	314	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997834.1_74	WP_001326494	0.9376854599406528	0.41139240506329117	1.54643e-84	P52052	Uncharacterized protein YggR	yggR	337	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_006997847.1_61	WP_000936377	0.2976190476190476	0.3	1.45614	P32684	Ribosomal large subunit pseudouridine synthase F (EC 5.4.99.21) (23S rRNA pseudouridine(2604) synthase) (rRNA pseudouridylate synthase F) (rRNA-uridine isomerase F)	rluF	168	0.82	0.82	0	o
lcl|NC_007205.1_prot_WP_006997849.1_59	WP_001219894	0.7512864493996569	0.3926940639269406	1.63587e-102	P45759	Putative type II secretion system protein E (T2SS protein E) (Putative general secretion pathway protein E) (Type II traffic warden ATPase)	gspE	583	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997850.1_58	WP_001109573	0.9926829268292683	0.26535626535626533	1.10107e-48	P41441	Putative type II secretion system protein F (T2SS protein F) (General secretion pathway protein F) (Protein transport protein HofF)	gspF	410	75.78	0.0	3	i172-193o225-247i377-399o
lcl|NC_007205.1_prot_WP_006997871.1_38	WP_000437376	0.9802306425041186	0.4773109243697479	1.23696e-163	P00579	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD	607	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997873.1_36	WP_000776765	0.8199233716475096	0.3644859813084112	3.90989e-24	P76506	Probable phospholipid-binding lipoprotein MlaA	mlaA	261	1.0	0.03	0	o
lcl|NC_007205.1_prot_WP_006997877.1_32	WP_000970479	0.8720238095238095	0.33447098976109213	4.96511e-46	P60390	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH	336	0.72	0.72	0	o
lcl|NC_007205.1_prot_WP_006997881.1_28	WP_000964131	1.0	0.4903047091412742	9.77449e-118	P0A6W3	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	mraY	361	209.47	22.51	10	o28-50i70-92o97-115i128-150o170-192i204-226o236-258i263-285o290-312i339-358o
lcl|NC_007205.1_prot_WP_006997890.1_19	WP_000595482	0.9607843137254902	0.3741496598639456	1.45873e-66	P0A725	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.-) (Protein EnvA) (UDP-3-O-acyl-GlcNAc deacetylase)	lpxC	306	0.71	0.43	0	o
lcl|NC_007205.1_prot_WP_006997908.1_3	WP_001300383	0.8901098901098901	0.35802469135802467	3.86145e-23	P00894	Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III)	ilvH	182	0.08	0.06	0	o
lcl|NC_007205.1_prot_WP_006997909.1_2	WP_000024939	0.9203539823008849	0.3525423728813559	5.61902e-40	P05793	Ketol-acid reductoisomerase (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (Alpha-keto-beta-hydroxylacyl reductoisomerase)	ilvC	339	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997918.1_1326	WP_001151604	0.819620253164557	0.33976833976833976	6.40477e-27	P0A9T0	D-3-phosphoglycerate dehydrogenase (PGDH) (EC 1.1.1.95)	serA	316	0.06	0.0	0	o
lcl|NC_007205.1_prot_WP_006997920.1_1324	WP_000024392	1.0	0.4523809523809524	4.8509e-18	P0AC62	Glutaredoxin-3 (Grx3)	grxC	84	0.01	0.01	0	o
lcl|NC_007205.1_prot_WP_006997922.1_1322	WP_000457206	0.9803921568627451	0.275	1.25115e-11	P76249	Leucine efflux protein	leuE	204	127.89	41.83	6	o6-28i40-62o77-94i115-137o147-169i182-201o
lcl|NC_007205.1_prot_WP_006997940.1_1304	WP_001009090	0.9675456389452333	0.36477987421383645	2.97853e-103	P23883	Aldehyde dehydrogenase PuuC (EC 1.2.1.5) (3-hydroxypropionaldehyde dehydrogenase) (Gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase) (Gamma-Glu-gamma-aminobutyraldehyde dehydrogenase)	puuC	493	1.76	0.0	0	o
lcl|NC_007205.1_prot_WP_006997942.1_1302	WP_000113108	0.2153846153846154	0.38095238095238093	0.849843	P77432	Autoinducer 2 kinase LsrK (AI-2 kinase) (EC 2.7.1.-)	lsrK	195	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997943.1_1301	WP_001295353	0.059278350515463915	0.43478260869565216	0.865449	P75862	Cell division protein ZapC (FtsZ-associated protein C) (Z-ring-associated protein C)	zapC	388	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997949.1_1295	WP_001061658	0.9190140845070423	0.31417624521072796	3.16066e-25	P0AFL1	Putrescine transport system permease protein PotI	potI	284	154.12	23.25	7	o15-37i85-107o117-139i152-174o194-216i221-240o250-272i
lcl|NC_007205.1_prot_WP_006997968.1_1280	WP_000270375	0.9136690647482014	0.4251968503937008	2.26661e-28	P0AF48	UPF0047 protein YjbQ	yjbQ	139	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997972.1_1276	WP_001300352	0.6986301369863014	0.3366013071895425	9.93958e-32	P09831	Glutamate synthase [NADPH] large chain (EC 1.4.1.13) (Glutamate synthase subunit alpha) (GLTS alpha chain) (NADPH-GOGAT)	gltB	438	0.31	0.0	0	o
lcl|NC_007205.1_prot_WP_006997979.1_1270	WP_001300352	0.6687763713080169	0.3249211356466877	3.64033e-29	P09831	Glutamate synthase [NADPH] large chain (EC 1.4.1.13) (Glutamate synthase subunit alpha) (GLTS alpha chain) (NADPH-GOGAT)	gltB	474	0.87	0.02	0	o
lcl|NC_007205.1_prot_WP_006997990.1_1259	WP_000985494	0.8123167155425219	0.4657039711191336	5.21352e-88	P14175	Glycine betaine/L-proline transport ATP-binding protein ProV	proV	341	0.02	0.01	0	o
lcl|NC_007205.1_prot_WP_006997993.1_1256	WP_001076194	0.8742690058479532	0.28762541806020064	4.88236e-25	P0A6S7	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	gpsA	342	0.26	0.11	0	o
lcl|NC_007205.1_prot_WP_006998006.1_1238	WP_000583469	0.2782608695652174	0.34375	0.554254	P0AF96	Toxin-antitoxin biofilm protein TabA	tabA	115	0.01	0.0	0	i
lcl|NC_007205.1_prot_WP_006998008.1_1236	WP_000014594	0.9558823529411765	0.5384615384615384	7.12117e-21	P0A9X9	Cold shock protein CspA (CSP-A) (7.4 kDa cold shock protein) (CS7.4)	cspA	68	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006998010.1_1234	WP_000815571	0.9655172413793104	0.30952380952380953	4.03697e-37	P09029	N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)	purK	348	1.27	1.27	0	o
lcl|NC_007205.1_prot_WP_006998011.1_1233	WP_001295318	0.9938650306748467	0.5432098765432098	4.16853e-50	P0AG18	N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)	purE	163	30.49	0.79	0	o
lcl|NC_007205.1_prot_WP_006998022.1_1224	WP_001275859	0.25	0.3548387096774194	2.70556	P77243	2-methylcitrate dehydratase (2-MC dehydratase) (EC 4.2.1.79) ((2S,3S)-2-methylcitrate dehydratase) (Aconitate hydratase) (ACN) (Aconitase) (EC 4.2.1.3)	prpD	124	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_006998023.1_1223	WP_000122080	0.9655172413793104	0.28174603174603174	3.57081e-19	P52045	Methylmalonyl-CoA decarboxylase (MMCD) (EC 4.1.1.41) (Transcarboxylase)	scpB	261	23.19	0.01	0	o
lcl|NC_007205.1_prot_WP_011281400.1_4	WP_001295534	0.9744897959183674	0.4851657940663176	0.0	P00893	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)	ilvI	588	0.19	0.0	0	o
lcl|NC_007205.1_prot_WP_011281401.1_5	WP_001280345	0.8817891373801917	0.31521739130434784	1.65179e-42	P16384	tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase)	miaA	313	4.41	0.0	0	o
lcl|NC_007205.1_prot_WP_011281402.1_6	WP_000753946	0.8914893617021277	0.39618138424821003	3.41966e-81	P0C0V0	Periplasmic serine endoprotease DegP (EC 3.4.21.107) (Heat shock protein DegP) (Protease Do)	degP	470	10.19	7.59	0	o
lcl|NC_007205.1_prot_WP_011281403.1_8	WP_001232412	0.9131944444444444	0.39543726235741444	3.04432e-59	P0ABC3	Modulator of FtsH protease HflC	hflC	288	19.07	19.0	1	i7-25o
lcl|NC_007205.1_prot_WP_011281404.1_9	WP_000312488	0.9699453551912568	0.35774647887323946	1.11317e-59	P0ABC7	Modulator of FtsH protease HflK	hflK	366	20.19	5.18	1	o57-79i
lcl|NC_007205.1_prot_WP_011281405.1_10	WP_001005448	0.845360824742268	0.47560975609756095	2.54906e-73	P0AF08	Iron-sulfur cluster carrier protein	mrp	291	0.03	0.01	0	o
lcl|NC_007205.1_prot_WP_011281408.1_13	WP_000069437	0.9956709956709957	0.3804347826086957	2.09177e-105	P0AC38	Aspartate ammonia-lyase (Aspartase) (EC 4.3.1.1)	aspA	462	1.54	1.53	0	o
lcl|NC_007205.1_prot_WP_011281409.1_14	WP_000789986	0.11180124223602485	0.3333333333333333	6.1539	P0A6T1	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	pgi	483	22.25	22.2	1	i32-54o
lcl|NC_007205.1_prot_WP_011281410.1_15	WP_000383406	0.9380530973451328	0.4088050314465409	1.2334e-154	P03018	DNA helicase II (EC 3.6.4.12)	uvrD	678	0.26	0.11	0	o
lcl|NC_007205.1_prot_WP_011281411.1_16	WP_001290136	0.4326241134751773	0.2786885245901639	1.48907e-10	P15034	Xaa-Pro aminopeptidase (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Aminopeptidase P II) (APP-II) (X-Pro aminopeptidase)	pepP	564	0.15	0.02	0	o
lcl|NC_007205.1_prot_WP_011281412.1_17	WP_000443661	0.9689349112426036	0.39083969465648855	2.30626e-159	P15042	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA	676	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281413.1_18	WP_000097571	0.2624113475177305	0.28378378378378377	0.014139	P45955	Uncharacterized protein YbgF	ybgF	282	0.52	0.5	0	o
lcl|NC_007205.1_prot_WP_011281416.1_22	WP_000130056	0.9802631578947368	0.3859060402684564	2.25034e-58	P07862	D-alanine--D-alanine ligase B (EC 6.3.2.4) (D-Ala-D-Ala ligase B) (D-alanylalanine synthetase B)	ddlB	304	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281418.1_24	WP_001096049	0.9913793103448276	0.34130434782608693	8.7484e-81	P17952	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	murC	464	21.87	18.07	1	i9-28o
lcl|NC_007205.1_prot_WP_011281419.1_25	WP_000016560	0.8904494382022472	0.26498422712933756	2.298e-27	P17443	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG	356	38.63	6.6	1	i62-84o
lcl|NC_007205.1_prot_WP_011281420.1_26	WP_001295532	0.9411764705882353	0.2869318181818182	7.62009e-37	P0ABG4	Lipid II flippase FtsW (Cell division protein FtsW)	ftsW	374	217.44	28.29	10	i21-43o53-75i82-104o119-141i148-170o174-196i198-220o282-301i314-336o346-368i
lcl|NC_007205.1_prot_WP_011281421.1_27	WP_000796481	0.9791183294663574	0.2843601895734597	6.0844e-35	P14900	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	murD	431	0.1	0.09	0	o
lcl|NC_007205.1_prot_WP_011281422.1_29	WP_000775093	0.4810126582278481	0.3201754385964912	5.38284e-60	P22188	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE	948	0.05	0.0	0	o
lcl|NC_007205.1_prot_WP_011281425.1_33	WP_000462776	0.6141414141414141	0.5164473684210527	1.28731e-83	P0A9A6	Cell division protein FtsZ	ftsZ	495	2.42	0.08	0	o
lcl|NC_007205.1_prot_WP_011281426.1_35	WP_001252135	0.9149797570850202	0.36283185840707965	7.85502e-39	P75820	N-acetylmuramoyl-L-alanine amidase AmiD (EC 3.5.1.28)	amiD	247	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281429.1_39	WP_000918827	0.7089678510998308	0.3436754176610978	1.17356e-79	P0ABS5	DNA primase (EC 2.7.7.-)	dnaG	591	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281430.1_40	WP_001013779	0.16339869281045752	0.36	2.26252	P37767	Uncharacterized HTH-type transcriptional regulator YfhH	yfhH	153	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281431.1_41	WP_000597260	0.9597989949748744	0.4895287958115183	9.98228e-130	P0A6F1	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	carA	398	3.1	0.05	0	o
lcl|NC_007205.1_prot_WP_011281432.1_42	WP_001126348	0.9925512104283054	0.5609756097560976	0.0	P00968	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	carB	1074	0.73	0.57	0	o
lcl|NC_007205.1_prot_WP_011281441.1_50	WP_000685029	0.5275167785234899	0.32061068702290074	1.47363e-35	P69681	Ammonia channel (Ammonia transporter)	amtB	745	239.0	16.5	11	o43-65i86-108o123-145i152-174o197-219i240-257o272-294i301-320o325-344i351-373o388-410i
lcl|NC_007205.1_prot_WP_011281444.1_53	WP_000857856	0.5172413793103449	0.26666666666666666	4.21265	P0A9G6	Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)	aceA	145	23.37	23.23	1	o20-42i
lcl|NC_007205.1_prot_WP_011281445.1_54	WP_000360904	0.2422360248447205	0.5128205128205128	4.20858e-09	P36647	Prepilin peptidase-dependent protein D	ppdD	161	22.58	22.5	1	i7-29o
lcl|NC_007205.1_prot_WP_011281449.1_65	WP_001333829	0.9566929133858267	0.35802469135802467	2.65945e-33	Q46836	Leader peptidase PppA	pppA	254	120.01	10.33	5	o71-93i98-120o146-168i189-211o226-245i
lcl|NC_007205.1_prot_WP_011281457.1_77	WP_000537418	0.9745222929936306	0.5490196078431373	1.41677e-117	P0A9P4	Thioredoxin reductase (TRXR) (EC 1.8.1.9)	trxB	314	8.54	8.5	0	o
lcl|NC_007205.1_prot_WP_011281458.1_78	WP_000048190	0.12684365781710916	0.3488372093023256	0.130505	P0AC88	GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)	gmd	339	0.09	0.08	0	o
lcl|NC_007205.1_prot_WP_011281459.1_79	WP_001310618	0.15436241610738255	0.391304347826087	6.28979	P77425	Allantoate amidohydrolase (EC 3.5.3.-) (Allantoate deiminase)	allC	149	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281460.1_80	WP_000074527	0.9423558897243107	0.3058510638297872	6.85934e-44	P0A959	Glutamate-pyruvate aminotransferase AlaA (EC 2.6.1.2)	alaA	399	0.08	0.0	0	o
lcl|NC_007205.1_prot_WP_011281461.1_81	WP_000042533	0.8948824343015215	0.5996908809891809	0.0	P0A8F8	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)	uvrB	723	0.38	0.0	0	o
lcl|NC_007205.1_prot_WP_011281462.1_82	WP_000603502	0.944	0.2627118644067797	1.81765e-17	P37769	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127) (2-deoxy-D-gluconate 3-dehydrogenase) (2-keto-3-deoxygluconate 5-dehydrogenase) (2-keto-3-deoxygluconate oxidoreductase) (KDG oxidoreductase) (20-ketosteroid reductase) (EC 1.1.1.-)	kduD	250	0.06	0.0	0	o
lcl|NC_007205.1_prot_WP_011281464.1_89	WP_000732512	0.6173120728929385	0.28413284132841327	3.81303e-28	P18392	Sensor protein RstB (EC 2.7.13.3)	rstB	439	43.69	22.72	2	o22-44i164-183o
lcl|NC_007205.1_prot_WP_011281465.1_92	WP_000129551	0.14985590778097982	0.3076923076923077	0.176125	P0A991	Fructose-bisphosphate aldolase class 1 (EC 4.1.2.13) (Fructose-bisphosphate aldolase class I) (FBP aldolase)	fbaB	347	14.05	13.04	0	o
lcl|NC_007205.1_prot_WP_011281468.1_96	WP_000152933	0.7741935483870968	0.3611111111111111	1.6168e-18	P0A7D1	Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29)	pth	186	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281473.1_105	WP_001260332	0.9537366548042705	0.25	1.67303e-13	P62615	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	ispE	281	0.49	0.0	0	o
lcl|NC_007205.1_prot_WP_011281474.1_106	WP_001257044	0.12299465240641712	0.3333333333333333	0.209275	P0AGM5	Protein sirB1	sirB1	561	0.03	0.03	0	o
lcl|NC_007205.1_prot_WP_011281475.1_107	WP_000091148	0.11934156378600823	0.3448275862068966	8.24641	P21599	Pyruvate kinase II (EC 2.7.1.40) (PK-2)	pykA	243	0.91	0.0	0	o
lcl|NC_007205.1_prot_WP_011281476.1_108	WP_000569430	0.9731182795698925	0.4585635359116022	3.44507e-53	P10442	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	rnhB	186	3.14	3.14	0	o
lcl|NC_007205.1_prot_WP_011281477.1_109	WP_001258895	0.6769662921348315	0.36929460580912865	1.22617e-32	P28638	DNA adenine methyltransferase YhdJ (EC 2.1.1.72)	yhdJ	356	0.53	0.0	0	o
lcl|NC_007205.1_prot_WP_011281479.1_111	WP_001321419	1.0	0.31901840490797545	6.29212e-46	P17802	A/G-specific adenine glycosylase (EC 3.2.2.-)	mutY	326	0.08	0.06	0	o
lcl|NC_007205.1_prot_WP_011281482.1_114	WP_000634798	0.2998833138856476	0.23346303501945526	0.783263	P63389	Uncharacterized ABC transporter ATP-binding protein YheS	yheS	857	0.14	0.0	0	o
lcl|NC_007205.1_prot_WP_011281483.1_118	WP_000255997	0.12849162011173185	0.4782608695652174	0.280722	P23869	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (Rotamase B)	ppiB	179	22.09	22.09	1	o20-42i
lcl|NC_007205.1_prot_WP_011281485.1_120	WP_001326916	0.11134020618556702	0.3333333333333333	1.16169	P45848	Uncharacterized protein YciQ	yciQ	485	8.81	2.04	0	o
lcl|NC_007205.1_prot_WP_011281489.1_124	WP_001166395	0.9808917197452229	0.4902597402597403	8.43166e-102	P62623	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)	ispH	314	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_011281491.1_126	WP_000917883	0.9716312056737588	0.5182481751824818	3.07256e-48	P0A7Y4	Ribonuclease HI (RNase HI) (EC 3.1.26.4) (Ribonuclease H) (RNase H)	rnhA	141	0.0	0.0	0	o
